# col  1   : time [sec]
# col  2   : status
# col  3- 8: joint position [rad]
# col  9-14: joint speed [rad/sec]
# col 15-20: joint torque
# col 21-26: TCP pose [m, rad]
# col 27-32: TCP speed
2.328 3  1.806750 -2.291930 1.718640 -0.662127 4.689490 -0.025237  -0.093215 0.223181 -0.063660 -0.251022 -0.009252 -0.005872  3.268860 -3.257050 -4.096230 -1.420960 -0.083757 0.850555  0.116077 -0.032115 0.362104 2.806740 -0.006808 -2.870890  0.025125 -0.136808 0.011059 -0.089613 -0.019123 -0.085320
2.336 3  1.805960 -2.290010 1.718120 -0.664380 4.689480 -0.025321  -0.098750 0.240720 -0.067444 -0.273887 -0.001055 -0.013494  2.433020 -3.047830 -3.218150 -0.263462 1.481400 1.368340  0.116314 -0.033309 0.362192 2.807600 -0.006818 -2.871610  0.029219 -0.147656 0.011334 -0.095392 -0.031420 -0.085858
2.344 3  1.805140 -2.287990 1.717580 -0.666742 4.689300 -0.025381  -0.103863 0.255996 -0.073158 -0.287022 -0.028259 -0.007526  2.497370 1.243750 -3.024960 -0.327243 -1.494530 0.140656  0.116522 -0.034573 0.362279 2.808470 -0.006993 -2.872330  0.024251 -0.157588 0.012407 -0.106638 -0.005958 -0.088975
2.352 3  1.804390 -2.285880 1.716980 -0.669235 4.689290 -0.025441  -0.109565 0.271297 -0.077402 -0.305478 -0.003499 -0.007526  0.167272 0.191310 -2.270080 -1.067870 2.120660 1.015140  0.116784 -0.035879 0.362380 2.809450 -0.007014 -2.873050  0.031768 -0.165828 0.012794 -0.107003 -0.031082 -0.101568
2.360 3  1.803450 -2.283680 1.716290 -0.671883 4.689090 -0.025453  -0.112466 0.290280 -0.083730 -0.324269 -0.010139 -0.011385  -0.078555 0.711249 0.123061 -0.572567 -0.869516 1.813190  0.117011 -0.037283 0.362505 2.810580 -0.007225 -2.873940  0.032217 -0.176771 0.013763 -0.114322 -0.027736 -0.098860
2.368 3  1.802500 -2.281320 1.715630 -0.674592 4.689090 -0.025584  -0.118526 0.309251 -0.089533 -0.333928 -0.003116 -0.014381  0.054579 5.342430 0.272592 -0.695196 1.374890 -0.302199  0.117294 -0.038737 0.362608 2.811590 -0.007212 -2.874780  0.035167 -0.184971 0.014334 -0.108688 -0.034228 -0.104147
2.376 3  1.801550 -2.278750 1.714860 -0.677337 4.688790 -0.025453  -0.120239 0.324884 -0.094071 -0.362523 -0.025910 0.010642  0.855277 2.469690 -0.348234 -0.920758 -1.069300 1.265730  0.117521 -0.040284 0.362739 2.812530 -0.007565 -2.875790  0.032148 -0.198255 0.014964 -0.134185 -0.012036 -0.123467
2.384 3  1.800590 -2.276140 1.714140 -0.680189 4.688810 -0.025645  -0.124073 0.341758 -0.098776 -0.376281 -0.008629 -0.018288  1.167280 6.655510 1.178860 -1.249220 0.040178 0.681165  0.117826 -0.041847 0.362843 2.813490 -0.007520 -2.876600  0.037634 -0.206065 0.015191 -0.128122 -0.035574 -0.104094
2.392 3  1.799580 -2.273270 1.713300 -0.683365 4.688670 -0.025513  -0.124777 0.354119 -0.108235 -0.394928 -0.036001 0.025910  -0.136766 5.088200 0.348671 -1.886540 -0.250910 2.710820  0.118128 -0.043581 0.362973 2.814640 -0.007721 -2.877720  0.032756 -0.216385 0.017546 -0.155188 -0.004323 -0.140045
2.400 3  1.798580 -2.270310 1.712390 -0.686589 4.688520 -0.025561  -0.126937 0.370725 -0.111252 -0.407823 -0.008629 -0.010019  0.265968 4.713330 -0.147199 -0.802218 -0.925195 -0.541440  0.118432 -0.045357 0.363119 2.815800 -0.007888 -2.878640  0.040530 -0.223100 0.017049 -0.143317 -0.037746 -0.114620
